horizon,response,shock,irf
14,Y5,Y10,-0.0
14,Y10,Repo,0.0
14,Y10,Y1,0.0
14,Y10,Y3,0.0
14,Y10,Y5,0.0
14,Y10,Y10,-0.0
15,Repo,Repo,0.0
15,Repo,Y1,0.0
15,Repo,Y3,0.0
15,Repo,Y5,-0.0
15,Repo,Y10,-0.0
15,Y1,Repo,0.0
15,Y1,Y1,0.0
15,Y1,Y3,0.0
15,Y1,Y5,-0.0
15,Y1,Y10,-0.0
15,Y3,Repo,0.0
15,Y3,Y1,0.0
15,Y3,Y3,0.0
15,Y3,Y5,-0.0
15,Y3,Y10,-0.0
15,Y5,Repo,0.0
15,Y5,Y1,0.0
15,Y5,Y3,0.0
15,Y5,Y5,-0.0
15,Y5,Y10,-0.0
15,Y10,Repo,0.0
15,Y10,Y1,0.0
15,Y10,Y3,0.0
15,Y10,Y5,-0.0
15,Y10,Y10,-0.0
16,Repo,Repo,0.0
16,Repo,Y1,0.0
16,Repo,Y3,0.0
16,Repo,Y5,-0.0
16,Repo,Y10,-0.0
16,Y1,Repo,0.0
16,Y1,Y1,0.0
16,Y1,Y3,0.0
16,Y1,Y5,-0.0
16,Y1,Y10,-0.0
16,Y3,Repo,0.0
16,Y3,Y1,0.0
16,Y3,Y3,0.0
16,Y3,Y5,-0.0
16,Y3,Y10,-0.0
16,Y5,Repo,0.0
16,Y5,Y1,0.0
16,Y5,Y3,0.0
16,Y5,Y5,0.0
16,Y5,Y10,-0.0
16,Y10,Repo,0.0
16,Y10,Y1,0.0
16,Y10,Y3,0.0
16,Y10,Y5,0.0
16,Y10,Y10,-0.0
17,Repo,Repo,0.0
17,Repo,Y1,0.0
17,Repo,Y3,0.0
17,Repo,Y5,-0.0
17,Repo,Y10,-0.0
17,Y1,Repo,0.0
17,Y1,Y1,0.0
17,Y1,Y3,0.0
17,Y1,Y5,-0.0
17,Y1,Y10,-0.0
17,Y3,Repo,0.0
17,Y3,Y1,0.0
17,Y3,Y3,0.0
17,Y3,Y5,-0.0
17,Y3,Y10,-0.0
17,Y5,Repo,0.0
17,Y5,Y1,0.0
17,Y5,Y3,0.0
17,Y5,Y5,-0.0
17,Y5,Y10,-0.0
17,Y10,Repo,0.0
17,Y10,Y1,0.0
17,Y10,Y3,0.0
17,Y10,Y5,-0.0
17,Y10,Y10,-0.0
18,Repo,Repo,0.0
18,Repo,Y1,0.0
18,Repo,Y3,0.0
18,Repo,Y5,-0.0
18,Repo,Y10,-0.0
18,Y1,Repo,0.0
18,Y1,Y1,0.0
18,Y1,Y3,0.0
18,Y1,Y5,-0.0
18,Y1,Y10,-0.0
18,Y3,Repo,0.0
18,Y3,Y1,0.0
18,Y3,Y3,0.0
18,Y3,Y5,-0.0
18,Y3,Y10,-0.0
18,Y5,Repo,0.0
18,Y5,Y1,0.0
18,Y5,Y3,0.0
18,Y5,Y5,0.0
18,Y5,Y10,-0.0
18,Y10,Repo,0.0
18,Y10,Y1,0.0
18,Y10,Y3,0.0
18,Y10,Y5,0.0
18,Y10,Y10,-0.0
19,Repo,Repo,0.0
19,Repo,Y1,0.0
19,Repo,Y3,0.0
19,Repo,Y5,-0.0
19,Repo,Y10,-0.0
19,Y1,Repo,0.0
19,Y1,Y1,0.0
19,Y1,Y3,0.0
19,Y1,Y5,-0.0
19,Y1,Y10,-0.0
19,Y3,Repo,0.0
19,Y3,Y1,0.0
19,Y3,Y3,0.0
19,Y3,Y5,-0.0
19,Y3,Y10,-0.0
19,Y5,Repo,0.0
19,Y5,Y1,0.0
19,Y5,Y3,0.0
19,Y5,Y5,-0.0
19,Y5,Y10,-0.0
19,Y10,Repo,0.0
19,Y10,Y1,0.0
19,Y10,Y3,0.0
19,Y10,Y5,-0.0
19,Y10,Y10,-0.0
20,Repo,Repo,0.0
20,Repo,Y1,0.0
20,Repo,Y3,0.0
20,Repo,Y5,-0.0
20,Repo,Y10,-0.0
20,Y1,Repo,0.0
20,Y1,Y1,0.0
20,Y1,Y3,0.0
20,Y1,Y5,-0.0
20,Y1,Y10,-0.0
20,Y3,Repo,0.0
20,Y3,Y1,0.0
20,Y3,Y3,0.0
20,Y3,Y5,-0.0
20,Y3,Y10,-0.0
20,Y5,Repo,0.0
20,Y5,Y1,0.0
20,Y5,Y3,0.0
20,Y5,Y5,0.0
20,Y5,Y10,-0.0
20,Y10,Repo,0.0
20,Y10,Y1,0.0
20,Y10,Y3,0.0
20,Y10,Y5,0.0
20,Y10,Y10,-0.0
21,Repo,Repo,0.0
21,Repo,Y1,0.0
21,Repo,Y3,0.0
21,Repo,Y5,-0.0
21,Repo,Y10,-0.0
21,Y1,Repo,0.0
21,Y1,Y1,0.0
21,Y1,Y3,0.0
21,Y1,Y5,-0.0
