horizon,response,shock,irf,ci_lo,ci_hi
6,Y5,Repo,0.000265,-0.000152,0.001498
6,Y5,Y1,0.000212,-8.4e-05,0.000863
6,Y5,Y3,0.000117,-0.00028,0.000787
6,Y5,Y5,0.000284,-7.7e-05,0.001417
6,Y5,Y10,-0.000163,-0.000658,7.5e-05
6,Y10,Repo,0.000192,-0.000141,0.001131
6,Y10,Y1,0.000161,-9.3e-05,0.00074
6,Y10,Y3,7.6e-05,-0.000302,0.00059
6,Y10,Y5,0.000259,-5.8e-05,0.001345
6,Y10,Y10,-0.000135,-0.000554,7.5e-05
7,Repo,Repo,0.000242,0.0,0.001098
7,Repo,Y1,0.000155,-1e-06,0.000643
7,Repo,Y3,0.000152,1e-06,0.000548
7,Repo,Y5,-2.8e-05,-0.000184,7.3e-05
7,Repo,Y10,-6.1e-05,-0.000305,2.8e-05
7,Y1,Repo,0.000258,-4e-06,0.001404
7,Y1,Y1,0.000164,-2.3e-05,0.000745
7,Y1,Y3,0.000164,-2e-06,0.000685
7,Y1,Y5,-4.3e-05,-0.000306,0.000119
7,Y1,Y10,-6e-05,-0.000406,4.8e-05
7,Y3,Repo,0.000145,-2e-06,0.000905
7,Y3,Y1,9.1e-05,-2.1e-05,0.000475
7,Y3,Y3,9.4e-05,-6e-06,0.00043
7,Y3,Y5,-3.3e-05,-0.000214,0.000107
7,Y3,Y10,-3.1e-05,-0.000248,3.8e-05
7,Y5,Repo,0.000134,-0.0,0.00082
7,Y5,Y1,7e-05,-9.9e-05,0.000404
7,Y5,Y3,0.000102,-2e-06,0.000416
7,Y5,Y5,-0.000126,-0.000688,-5e-06
7,Y5,Y10,1e-06,-0.000177,0.000186
7,Y10,Repo,0.000102,-1e-06,0.000615
7,Y10,Y1,5.2e-05,-8.7e-05,0.000318
7,Y10,Y3,8e-05,-5e-06,0.000351
7,Y10,Y5,-0.000111,-0.00063,-2e-06
7,Y10,Y10,5e-06,-0.000141,0.000137
8,Repo,Repo,9.4e-05,-1e-06,0.000545
8,Repo,Y1,6e-05,-3e-06,0.000315
8,Repo,Y3,5.8e-05,-1e-06,0.000275
8,Repo,Y5,-8e-06,-6.4e-05,4.5e-05
8,Repo,Y10,-2.4e-05,-0.000152,8e-06
8,Y1,Repo,9.9e-05,-4e-06,0.000654
8,Y1,Y1,6.4e-05,-4e-06,0.000383
8,Y1,Y3,6.1e-05,-9e-06,0.000311
8,Y1,Y5,-3e-06,-9.8e-05,0.000102
8,Y1,Y10,-2.7e-05,-0.000177,1.8e-05
8,Y3,Repo,5.5e-05,-4e-06,0.000437
8,Y3,Y1,3.6e-05,-4e-06,0.000245
8,Y3,Y3,3.3e-05,-6e-06,0.000209
8,Y3,Y5,2e-06,-6.3e-05,6.5e-05
8,Y3,Y10,-1.6e-05,-0.000118,1e-05
8,Y5,Repo,4.1e-05,-3.2e-05,0.000345
8,Y5,Y1,3.2e-05,-1.6e-05,0.000211
8,Y5,Y3,1.9e-05,-6.1e-05,0.000173
8,Y5,Y5,3.7e-05,-2.1e-05,0.000303
8,Y5,Y10,-2.3e-05,-0.000136,1.1e-05
8,Y10,Repo,3e-05,-3e-05,0.000251
8,Y10,Y1,2.4e-05,-1.2e-05,0.000164
8,Y10,Y3,1.3e-05,-6.3e-05,0.000134
8,Y10,Y5,3.4e-05,-1.7e-05,0.000297
8,Y10,Y10,-1.9e-05,-0.000107,9e-06
9,Repo,Repo,3.7e-05,-0.0,0.000256
9,Repo,Y1,2.4e-05,-1e-06,0.000156
9,Repo,Y3,2.3e-05,-0.0,0.000131
9,Repo,Y5,-4e-06,-3.7e-05,1.3e-05
9,Repo,Y10,-9e-06,-7.3e-05,5e-06
9,Y1,Repo,3.9e-05,-0.0,0.000337
9,Y1,Y1,2.5e-05,-4e-06,0.000191
9,Y1,Y3,2.5e-05,-1e-06,0.000159
9,Y1,Y5,-6e-06,-6.2e-05,2.1e-05
9,Y1,Y10,-9e-06,-9.4e-05,8e-06
9,Y3,Repo,2.2e-05,-0.0,0.000219
9,Y3,Y1,1.4e-05,-3e-06,0.000118
9,Y3,Y3,1.4e-05,-1e-06,0.000108
9,Y3,Y5,-5e-06,-4.3e-05,2e-05
9,Y3,Y10,-5e-06,-5.5e-05,7e-06
9,Y5,Repo,2e-05,-0.0,0.000198
9,Y5,Y1,1.1e-05,-2e-05,0.000102
9,Y5,Y3,1.5e-05,-0.0,9.9e-05
9,Y5,Y5,-1.7e-05,-0.000155,0.0
9,Y5,Y10,-1e-06,-4.4e-05,3.4e-05
9,Y10,Repo,1.5e-05,-0.0,0.00015
9,Y10,Y1,8e-06,-1.7e-05,8e-05
9,Y10,Y3,1.2e-05,-1e-06,8e-05
9,Y10,Y5,-1.5e-05,-0.000139,0.0
9,Y10,Y10,0.0,-3.2e-05,2.8e-05
10,Repo,Repo,1.4e-05,-0.0,0.000127
10,Repo,Y1,9e-06,-1e-06,7.6e-05
10,Repo,Y3,9e-06,-0.0,6.5e-05
10,Repo,Y5,-1e-06,-1.4e-05,8e-06
10,Repo,Y10,-4e-06,-3.7e-05,1e-06
10,Y1,Repo,1.5e-05,-1e-06,0.00016
10,Y1,Y1,1e-05,-0.0,9.5e-05
10,Y1,Y3,9e-06,-2e-06,7.6e-05
10,Y1,Y5,-1e-06,-1.8e-05,2e-05
10,Y1,Y10,-4e-06,-4.2e-05,3e-06
10,Y3,Repo,8e-06,-1e-06,0.000102
10,Y3,Y1,5e-06,-0.0,5.9e-05
10,Y3,Y3,5e-06,-1e-06,5.2e-05
10,Y3,Y5,0.0,-1.2e-05,1.4e-05
10,Y3,Y10,-2e-06,-2.7e-05,2e-06
10,Y5,Repo,6e-06,-6e-06,8.2e-05
10,Y5,Y1,5e-06,-3e-06,5.1e-05
10,Y5,Y3,3e-06,-1.3e-05,3.9e-05
10,Y5,Y5,5e-06,-5e-06,7e-05
10,Y5,Y10,-3e-06,-3.1e-05,2e-06
10,Y10,Repo,5e-06,-7e-06,6e-05
10,Y10,Y1,4e-06,-2e-06,4e-05
10,Y10,Y3,2e-06,-1.2e-05,3.1e-05
10,Y10,Y5,4e-06,-4e-06,6.5e-05
10,Y10,Y10,-3e-06,-2.6e-05,2e-06
11,Repo,Repo,6e-06,-0.0,6.3e-05
11,Repo,Y1,4e-06,-0.0,3.8e-05
11,Repo,Y3,3e-06,-0.0,3.1e-05
11,Repo,Y5,-1e-06,-8e-06,2e-06
11,Repo,Y10,-1e-06,-1.8e-05,1e-06
11,Y1,Repo,6e-06,-0.0,8e-05
11,Y1,Y1,4e-06,-1e-06,4.7e-05
11,Y1,Y3,4e-06,-0.0,3.8e-05
11,Y1,Y5,-1e-06,-1.4e-05,4e-06
11,Y1,Y10,-1e-06,-2.1e-05,2e-06
11,Y3,Repo,3e-06,-0.0,5.2e-05
11,Y3,Y1,2e-06,-1e-06,2.9e-05
11,Y3,Y3,2e-06,-0.0,2.6e-05
11,Y3,Y5,-1e-06,-9e-06,3e-06
11,Y3,Y10,-1e-06,-1.3e-05,2e-06
11,Y5,Repo,3e-06,-0.0,4.7e-05
11,Y5,Y1,2e-06,-4e-06,2.5e-05
11,Y5,Y3,2e-06,-0.0,2.3e-05
11,Y5,Y5,-2e-06,-3.5e-05,0.0
11,Y5,Y10,-0.0,-1e-05,6e-06
11,Y10,Repo,2e-06,-0.0,3.6e-05
11,Y10,Y1,1e-06,-4e-06,2e-05
11,Y10,Y3,2e-06,-0.0,1.8e-05
11,Y10,Y5,-2e-06,-3.1e-05,0.0
11,Y10,Y10,-0.0,-8e-06,5e-06
12,Repo,Repo,2e-06,-0.0,3.1e-05
12,Repo,Y1,1e-06,-0.0,1.9e-05
12,Repo,Y3,1e-06,-0.0,1.5e-05
12,Repo,Y5,-0.0,-3e-06,2e-06
12,Repo,Y10,-1e-06,-8e-06,0.0
12,Y1,Repo,2e-06,-0.0,3.9e-05
12,Y1,Y1,1e-06,-0.0,2.3e-05
12,Y1,Y3,1e-06,-0.0,1.8e-05
12,Y1,Y5,-0.0,-4e-06,4e-06
12,Y1,Y10,-1e-06,-1e-05,0.0
12,Y3,Repo,1e-06,-0.0,2.4e-05
12,Y3,Y1,1e-06,-0.0,1.4e-05
12,Y3,Y3,1e-06,-0.0,1.2e-05
12,Y3,Y5,-0.0,-3e-06,3e-06
12,Y3,Y10,-0.0,-7e-06,0.0
12,Y5,Repo,1e-06,-2e-06,2e-05
12,Y5,Y1,1e-06,-1e-06,1.3e-05
12,Y5,Y3,0.0,-3e-06,9e-06
12,Y5,Y5,1e-06,-1e-06,1.6e-05
12,Y5,Y10,-0.0,-7e-06,0.0
12,Y10,Repo,1e-06,-1e-06,1.4e-05
12,Y10,Y1,1e-06,-1e-06,1e-05
12,Y10,Y3,0.0,-3e-06,7e-06
12,Y10,Y5,1e-06,-1e-06,1.4e-05
12,Y10,Y10,-0.0,-6e-06,0.0
13,Repo,Repo,1e-06,-0.0,1.5e-05
13,Repo,Y1,1e-06,-0.0,9e-06
13,Repo,Y3,1e-06,-0.0,7e-06
13,Repo,Y5,-0.0,-2e-06,0.0
13,Repo,Y10,-0.0,-4e-06,0.0
13,Y1,Repo,1e-06,-0.0,1.9e-05
13,Y1,Y1,1e-06,-0.0,1.1e-05
13,Y1,Y3,1e-06,-0.0,9e-06
13,Y1,Y5,-0.0,-3e-06,1e-06
13,Y1,Y10,-0.0,-5e-06,0.0
13,Y3,Repo,1e-06,-0.0,1.2e-05
13,Y3,Y1,0.0,-0.0,7e-06
13,Y3,Y3,0.0,-0.0,6e-06
13,Y3,Y5,-0.0,-2e-06,1e-06
13,Y3,Y10,-0.0,-3e-06,0.0
13,Y5,Repo,0.0,-0.0,1.2e-05
13,Y5,Y1,0.0,-1e-06,6e-06
13,Y5,Y3,0.0,-0.0,5e-06
13,Y5,Y5,-0.0,-8e-06,0.0
13,Y5,Y10,-0.0,-2e-06,1e-06
13,Y10,Repo,0.0,-0.0,9e-06
13,Y10,Y1,0.0,-1e-06,5e-06
13,Y10,Y3,0.0,-0.0,5e-06
13,Y10,Y5,-0.0,-7e-06,0.0
13,Y10,Y10,-0.0,-2e-06,1e-06
14,Repo,Repo,0.0,-0.0,7e-06
14,Repo,Y1,0.0,-0.0,5e-06
14,Repo,Y3,0.0,-0.0,4e-06
14,Repo,Y5,-0.0,-1e-06,0.0
14,Repo,Y10,-0.0,-2e-06,0.0
14,Y1,Repo,0.0,-0.0,9e-06
14,Y1,Y1,0.0,-0.0,6e-06
14,Y1,Y3,0.0,-0.0,4e-06
14,Y1,Y5,-0.0,-1e-06,1e-06
14,Y1,Y10,-0.0,-2e-06,0.0
14,Y3,Repo,0.0,-0.0,6e-06
14,Y3,Y1,0.0,-0.0,4e-06
14,Y3,Y3,0.0,-0.0,3e-06
14,Y3,Y5,-0.0,-1e-06,1e-06
14,Y3,Y10,-0.0,-2e-06,0.0
14,Y5,Repo,0.0,-0.0,5e-06
14,Y5,Y1,0.0,-0.0,3e-06
14,Y5,Y3,0.0,-1e-06,2e-06
14,Y5,Y5,0.0,-0.0,4e-06
14,Y5,Y10,-0.0,-2e-06,0.0
14,Y10,Repo,0.0,-0.0,3e-06
14,Y10,Y1,0.0,-0.0,2e-06
14,Y10,Y3,0.0,-1e-06,2e-06
14,Y10,Y5,0.0,-0.0,3e-06
14,Y10,Y10,-0.0,-1e-06,0.0
15,Repo,Repo,0.0,-0.0,4e-06
15,Repo,Y1,0.0,-0.0,2e-06
15,Repo,Y3,0.0,-0.0,2e-06
15,Repo,Y5,-0.0,-0.0,0.0
15,Repo,Y10,-0.0,-1e-06,0.0
15,Y1,Repo,0.0,-0.0,5e-06
15,Y1,Y1,0.0,-0.0,3e-06
15,Y1,Y3,0.0,-0.0,2e-06
15,Y1,Y5,-0.0,-1e-06,0.0
15,Y1,Y10,-0.0,-1e-06,0.0
15,Y3,Repo,0.0,-0.0,3e-06
15,Y3,Y1,0.0,-0.0,2e-06
15,Y3,Y3,0.0,-0.0,1e-06
15,Y3,Y5,-0.0,-0.0,0.0
15,Y3,Y10,-0.0,-1e-06,0.0
15,Y5,Repo,0.0,-0.0,3e-06
15,Y5,Y1,0.0,-0.0,2e-06
15,Y5,Y3,0.0,-0.0,1e-06
15,Y5,Y5,-0.0,-2e-06,0.0
15,Y5,Y10,-0.0,-1e-06,0.0
15,Y10,Repo,0.0,-0.0,2e-06
15,Y10,Y1,0.0,-0.0,1e-06
15,Y10,Y3,0.0,-0.0,1e-06
15,Y10,Y5,-0.0,-1e-06,0.0
15,Y10,Y10,-0.0,-0.0,0.0
16,Repo,Repo,0.0,-0.0,2e-06
16,Repo,Y1,0.0,-0.0,1e-06
16,Repo,Y3,0.0,-0.0,1e-06
16,Repo,Y5,-0.0,-0.0,0.0
16,Repo,Y10,-0.0,-0.0,0.0
16,Y1,Repo,0.0,-0.0,2e-06
16,Y1,Y1,0.0,-0.0,1e-06
16,Y1,Y3,0.0,-0.0,1e-06
16,Y1,Y5,-0.0,-0.0,0.0
16,Y1,Y10,-0.0,-1e-06,0.0
16,Y3,Repo,0.0,-0.0,1e-06
16,Y3,Y1,0.0,-0.0,1e-06
16,Y3,Y3,0.0,-0.0,1e-06
16,Y3,Y5,-0.0,-0.0,0.0
16,Y3,Y10,-0.0,-0.0,0.0
16,Y5,Repo,0.0,-0.0,1e-06
16,Y5,Y1,0.0,-0.0,1e-06
16,Y5,Y3,0.0,-0.0,1e-06
16,Y5,Y5,0.0,-0.0,1e-06
16,Y5,Y10,-0.0,-0.0,0.0
16,Y10,Repo,0.0,-0.0,1e-06
16,Y10,Y1,0.0,-0.0,1e-06
16,Y10,Y3,0.0,-0.0,0.0
16,Y10,Y5,0.0,-0.0,1e-06
16,Y10,Y10,-0.0,-0.0,0.0
17,Repo,Repo,0.0,-0.0,1e-06
17,Repo,Y1,0.0,-0.0,1e-06
17,Repo,Y3,0.0,-0.0,0.0
17,Repo,Y5,-0.0,-0.0,0.0
17,Repo,Y10,-0.0,-0.0,0.0
17,Y1,Repo,0.0,-0.0,1e-06
17,Y1,Y1,0.0,-0.0,1e-06
17,Y1,Y3,0.0,-0.0,1e-06
17,Y1,Y5,-0.0,-0.0,0.0
17,Y1,Y10,-0.0,-0.0,0.0
17,Y3,Repo,0.0,-0.0,1e-06
17,Y3,Y1,0.0,-0.0,0.0
17,Y3,Y3,0.0,-0.0,0.0
17,Y3,Y5,-0.0,-0.0,0.0
17,Y3,Y10,-0.0,-0.0,0.0
17,Y5,Repo,0.0,-0.0,1e-06
17,Y5,Y1,0.0,-0.0,0.0
17,Y5,Y3,0.0,-0.0,0.0
17,Y5,Y5,-0.0,-0.0,0.0
17,Y5,Y10,-0.0,-0.0,0.0
17,Y10,Repo,0.0,-0.0,1e-06
17,Y10,Y1,0.0,-0.0,0.0
17,Y10,Y3,0.0,-0.0,0.0
17,Y10,Y5,-0.0,-0.0,0.0
17,Y10,Y10,-0.0,-0.0,0.0
18,Repo,Repo,0.0,-0.0,0.0
18,Repo,Y1,0.0,-0.0,0.0
18,Repo,Y3,0.0,-0.0,0.0
18,Repo,Y5,-0.0,-0.0,0.0
18,Repo,Y10,-0.0,-0.0,0.0
18,Y1,Repo,0.0,-0.0,1e-06
18,Y1,Y1,0.0,-0.0,0.0
18,Y1,Y3,0.0,-0.0,0.0
18,Y1,Y5,-0.0,-0.0,0.0
18,Y1,Y10,-0.0,-0.0,0.0
18,Y3,Repo,0.0,-0.0,0.0
18,Y3,Y1,0.0,-0.0,0.0
18,Y3,Y3,0.0,-0.0,0.0
18,Y3,Y5,-0.0,-0.0,0.0
18,Y3,Y10,-0.0,-0.0,0.0
18,Y5,Repo,0.0,-0.0,0.0
18,Y5,Y1,0.0,-0.0,0.0
18,Y5,Y3,0.0,-0.0,0.0
18,Y5,Y5,0.0,-0.0,0.0
18,Y5,Y10,-0.0,-0.0,0.0
18,Y10,Repo,0.0,-0.0,0.0
18,Y10,Y1,0.0,-0.0,0.0
18,Y10,Y3,0.0,-0.0,0.0
18,Y10,Y5,0.0,-0.0,0.0
18,Y10,Y10,-0.0,-0.0,0.0
19,Repo,Repo,0.0,-0.0,0.0
19,Repo,Y1,0.0,-0.0,0.0
19,Repo,Y3,0.0,-0.0,0.0
19,Repo,Y5,-0.0,-0.0,0.0
19,Repo,Y10,-0.0,-0.0,0.0
19,Y1,Repo,0.0,-0.0,0.0
19,Y1,Y1,0.0,-0.0,0.0
19,Y1,Y3,0.0,-0.0,0.0
19,Y1,Y5,-0.0,-0.0,0.0
19,Y1,Y10,-0.0,-0.0,0.0
19,Y3,Repo,0.0,-0.0,0.0
19,Y3,Y1,0.0,-0.0,0.0
19,Y3,Y3,0.0,-0.0,0.0
19,Y3,Y5,-0.0,-0.0,0.0
19,Y3,Y10,-0.0,-0.0,0.0
19,Y5,Repo,0.0,-0.0,0.0
19,Y5,Y1,0.0,-0.0,0.0
19,Y5,Y3,0.0,-0.0,0.0
19,Y5,Y5,-0.0,-0.0,0.0
19,Y5,Y10,-0.0,-0.0,0.0
19,Y10,Repo,0.0,-0.0,0.0
19,Y10,Y1,0.0,-0.0,0.0
19,Y10,Y3,0.0,-0.0,0.0
19,Y10,Y5,-0.0,-0.0,0.0
19,Y10,Y10,-0.0,-0.0,0.0
20,Repo,Repo,0.0,-0.0,0.0
20,Repo,Y1,0.0,-0.0,0.0
20,Repo,Y3,0.0,-0.0,0.0
20,Repo,Y5,-0.0,-0.0,0.0
20,Repo,Y10,-0.0,-0.0,0.0
20,Y1,Repo,0.0,-0.0,0.0
20,Y1,Y1,0.0,-0.0,0.0
20,Y1,Y3,0.0,-0.0,0.0
20,Y1,Y5,-0.0,-0.0,0.0
20,Y1,Y10,-0.0,-0.0,0.0
20,Y3,Repo,0.0,-0.0,0.0
20,Y3,Y1,0.0,-0.0,0.0
20,Y3,Y3,0.0,-0.0,0.0
20,Y3,Y5,-0.0,-0.0,0.0
20,Y3,Y10,-0.0,-0.0,0.0
20,Y5,Repo,0.0,-0.0,0.0
20,Y5,Y1,0.0,-0.0,0.0
20,Y5,Y3,0.0,-0.0,0.0
20,Y5,Y5,0.0,-0.0,0.0
20,Y5,Y10,-0.0,-0.0,0.0
20,Y10,Repo,0.0,-0.0,0.0
20,Y10,Y1,0.0,-0.0,0.0
20,Y10,Y3,0.0,-0.0,0.0
20,Y10,Y5,0.0,-0.0,0.0
20,Y10,Y10,-0.0,-0.0,0.0
21,Repo,Repo,0.0,-0.0,0.0
21,Repo,Y1,0.0,-0.0,0.0
