Date,yield_Y1,exp_rate_Y1,term_prem_Y1,yield_Y3,exp_rate_Y3,term_prem_Y3,yield_Y5,exp_rate_Y5,term_prem_Y5,yield_Y10,exp_rate_Y10,term_prem_Y10
2011-02-28,7.504,6.524576771968031,0.9794232280319681,7.913,6.526473729897682,1.3865262701023182,8.108,6.5268531273761745,1.581146872623826,7.992,6.527137675485037,1.4648623245149626
2011-03-31,7.529,6.820318107751787,0.7086818922482125,7.885,6.8230732558826,1.0619267441173994,7.995,6.823624295895407,1.1713757041045927,7.985,6.824037575905013,1.1609624240949872
2011-04-30,7.907,6.846878336329671,1.060121663670329,8.088,6.849530777272329,1.2384692227276703,8.239,6.850061275567954,1.3889387244320464,8.135,6.850459149289679,1.2845408507103206
2011-05-31,8.296,7.495222552658373,0.800777447341626,8.3,7.5045394831492835,0.7954605168507172,8.49,7.506402903578339,0.9835970964216614,8.411,7.507800468900132,0.903199531099868
2011-06-30,8.115,7.528504165384921,0.5864958346150795,8.185,7.530816767374909,0.6541832326250914,8.358,7.531279295668365,0.8267207043316356,8.326,7.531626191888455,0.7943738081115459
2011-07-31,8.377,8.225607736469234,0.1513922635307665,8.333,8.23456742280947,0.09843257719053078,8.443,8.23635939286308,0.20664060713692045,8.454,8.237703370403288,0.21629662959671236
2011-08-31,8.266,7.962184934258534,0.3038150657414658,8.219,7.961188174557273,0.25781182544272685,8.344,7.960988818619629,0.38301118138037005,8.319,7.960839301666399,0.3581606983336014
2011-09-30,8.277,8.348646366632572,-0.07164636663257262,8.303,8.353122497329318,-0.050122497329317284,8.413,8.354017739577507,0.05898226042249277,8.442,8.354689171263647,0.08731082873635287
2011-10-31,8.678,8.664719763279601,0.013280236720399685,8.558,8.670360093887577,-0.1123600938875775,8.842,8.671488181192547,0.17051181880745325,8.879,8.672334246671278,0.20666575332872128
2011-11-30,8.674,8.52503038859156,0.14896961140843956,8.581,8.526146232485187,0.05485376751481219,8.729,8.52636940509732,0.2026305949026792,8.738,8.526536784556416,0.21146321544358315
2011-12-31,8.559,8.333507773514036,0.22549222648596334,8.128,8.326220537027297,-0.19822053702729647,8.468,8.324763064150057,0.14323693584994324,8.56,8.323669959492126,0.23633004050787498
2012-01-31,8.565,8.54384662256163,0.021153377438370313,8.149,8.545915971100564,-0.3969159711005652,8.276,8.546329847745847,-0.2703298477458471,8.267,8.546640255229809,-0.2796402552298094
2012-02-29,8.815,8.561367867878017,0.2536321321219823,8.224,8.56310171483134,-0.3391017148313402,8.33,8.563448490616517,-0.2334484906165173,8.199,8.563708572455402,-0.36470857245540245
2012-03-31,8.062,8.365935658115344,-0.3039356581153445,8.166,8.364272019048721,-0.19827201904872105,8.578,8.363939283314203,0.21406071668579685,8.572,8.363689731513313,0.2083102684866862
2012-04-30,7.924,7.860721050337339,0.06327894966266179,8.296,7.853714539145975,0.4422854608540243,8.421,7.852313212715692,0.5686867872843075,8.671,7.851262217892982,0.8197377821070173
2012-05-31,7.98,7.978711706217134,0.0012882937828662122,8.133,7.977867191998005,0.15513280800199425,8.288,7.977698285726804,0.3103017142731961,8.377,7.977571606023404,0.3994283939765966
2012-06-30,7.996,7.962540829153803,0.03345917084619732,8.04,7.960186578972229,0.07981342102777056,8.162,7.959715721301903,0.20228427869809806,8.38,7.959362578049158,0.4206374219508424
2012-07-31,8.081,8.020705824009715,0.060294175990284415,8.026,8.02170964396522,0.004290356034779563,8.185,8.021910411087678,0.16308958891232272,8.245,8.022060986429517,0.22293901357048185
2012-08-31,7.895,7.97647473603319,-0.08147473603319,8.004,7.9767627210915055,0.027237278908494034,8.231,7.976820318265039,0.25417968173496064,8.241,7.976863516145186,0.2641364838548137
2012-09-30,7.89,8.012755182724943,-0.12275518272494335,8.009,8.013448579897462,-0.004448579897461613,8.181,8.013587261593154,0.16741273840684556,8.149,8.013691272864923,0.1353087271350759
2012-10-31,7.904,7.984033316665493,-0.08003331666549318,7.987,7.983028028444677,0.00397197155532325,8.186,7.982826967569157,0.2031730324308425,8.215,7.9826761719125185,0.2323238280874813
2012-11-30,8.029,8.017144233149306,0.011855766850693783,7.99,8.01719923850583,-0.027199238505829726,8.163,8.017210240123426,0.14578975987657472,8.175,8.017218491336617,0.15778150866338336
2012-12-31,7.946,7.981529151047581,-0.03552915104758103,7.925,7.981007750311678,-0.05600775031167782,8.024,7.980903468157456,0.043096531842542696,8.049,7.980825256541794,0.06817474345820518
2013-01-31,7.832,7.6315026665062975,0.20049733349370236,7.807,7.626927421511455,0.18007257848854508,7.981,7.62601235553038,0.3549876444696203,7.912,7.625326056044571,0.2866739439554289
