Date,beta1_level,beta2_slope,beta3_curvature,fitted_Y1,residual_Y1,fitted_Y3,residual_Y3,fitted_Y5,residual_Y5,fitted_Y10,residual_Y10,Y1,Y3,Y5,Y10,Repo
2012-08-31,8.389241684359813,-0.2144178225183002,-1.3090530590037175,7.8928478766174415,0.002152123382558102,8.039828857907889,-0.035828857907889144,8.163110157300153,0.06788984269984688,8.275213108174507,-0.034213108174506957,7.895,8.004,8.231,8.241,8.0
2012-09-30,8.245615523776245,-0.4133749052970219,-0.4485906250788821,7.887980876163454,0.0020191238365461217,8.042614662441894,-0.03361466244189337,8.117305696613164,0.06369430338683557,8.18109876478147,-0.032098764781471445,7.89,8.009,8.181,8.149,8.0
2012-10-31,8.35269983389966,-0.08492734789562877,-1.3971074382295958,7.902315894276778,0.0016841057232221956,8.015037232971018,-0.0280372329710179,8.132874015883093,0.05312598411690672,8.241772856869103,-0.026772856869103023,7.904,7.987,8.186,8.215,8.0
2012-11-30,8.2953145585135,0.35592499236146735,-1.6077251995152877,8.027325459357758,0.0016745406422415954,8.017877992134766,-0.027877992134765606,8.110175751298511,0.05282424870148894,8.201620797208967,-0.026620797208966707,8.029,7.99,8.163,8.175,8.0
2012-12-31,8.124193863245745,0.24367990598306918,-1.085084396262237,7.945231502835619,0.0007684971643806549,7.9377940507167235,-0.012794050716723682,7.999757360368974,0.024242639631025575,8.061217086078676,-0.012217086078676331,7.946,7.925,8.024,8.049,8.0
2013-01-31,8.003695738232222,0.0953698308791892,-0.7853482427901118,7.829480551310053,0.0025194486899469126,7.848944142166755,-0.041944142166754794,7.901522690921336,0.0794773090786638,7.952052615601853,-0.04005261560185325,7.832,7.807,7.981,7.912,7.75
2013-02-28,7.9110796027182095,-0.047720558938860604,-0.12940257506064382,7.847375689211545,0.0016243107884550412,7.870041758344099,-0.027041758344099165,7.884760277957285,0.05123972204271521,7.897822274487065,-0.025822274487064867,7.849,7.843,7.936,7.872,7.75
2013-03-31,8.051663268557636,0.5204846210060725,-1.430959359866689,7.9255206876007485,0.0014793123992511426,7.854627804420398,-0.02462780442039758,7.917334326970684,0.04666567302931668,7.983517181008166,-0.0235171810081658,7.927,7.83,7.964,7.96,7.5
2013-04-30,7.857256587397083,0.735834055500909,-2.6117094786057664,7.508889904738465,-0.0008899047384653969,7.44518473862392,0.014815261376080358,7.580072504207779,-0.028072504207779403,7.716852852429833,0.014147147570167107,7.508,7.46,7.552,7.731,7.5
2013-05-31,7.4808873096307895,-0.18027132767532142,-0.4257090432745645,7.258469838027683,-0.00046983802768263416,7.34017806931051,0.007821930689489776,7.390821283041837,-0.014821283041836608,7.435530809619972,0.00746919038002769,7.258,7.348,7.376,7.443,7.25
