horizon,response,shock,fevd
23,Repo,Y5,0.001853
23,Repo,Y10,0.003703
23,Y1,Repo,0.203488
23,Y1,Y1,0.726406
23,Y1,Y3,0.04746
23,Y1,Y5,0.00194
23,Y1,Y10,0.020706
23,Y3,Repo,0.162655
23,Y3,Y1,0.462148
23,Y3,Y3,0.359608
23,Y3,Y5,0.001874
23,Y3,Y10,0.013714
23,Y5,Repo,0.106103
23,Y5,Y1,0.427372
23,Y5,Y3,0.254465
23,Y5,Y5,0.205229
23,Y5,Y10,0.006831
23,Y10,Repo,0.106182
23,Y10,Y1,0.285363
23,Y10,Y3,0.172381
23,Y10,Y5,0.196235
23,Y10,Y10,0.239839
24,Repo,Repo,0.859994
24,Repo,Y1,0.106768
24,Repo,Y3,0.027683
24,Repo,Y5,0.001853
24,Repo,Y10,0.003703
24,Y1,Repo,0.203488
24,Y1,Y1,0.726406
24,Y1,Y3,0.04746
24,Y1,Y5,0.00194
24,Y1,Y10,0.020706
24,Y3,Repo,0.162655
24,Y3,Y1,0.462148
24,Y3,Y3,0.359608
24,Y3,Y5,0.001874
24,Y3,Y10,0.013714
24,Y5,Repo,0.106103
24,Y5,Y1,0.427372
24,Y5,Y3,0.254465
24,Y5,Y5,0.205229
24,Y5,Y10,0.006831
24,Y10,Repo,0.106182
24,Y10,Y1,0.285363
24,Y10,Y3,0.172381
24,Y10,Y5,0.196235
24,Y10,Y10,0.239839
